timestamp,question,answer,sources_json
2025-09-28T17:52:29Z,What happens if I get a C grade?,I get a C grade.,"[""-  – NUTR 873 - Clinical Nutrition (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 860 - Behavioral Nutrition and Counseling (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 855 - Concepts and Controversies in Weight Management (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 875 - Practical Applications in Medical Nutrition Therapy (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 851 - Nutritional Biochemistry of Micronutrients (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)""]"
2025-09-28T21:51:43Z,What happens if I get a C grade?,I get a C grade.,"[""-  – NUTR 873 - Clinical Nutrition (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 860 - Behavioral Nutrition and Counseling (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 855 - Concepts and Controversies in Weight Management (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 875 - Practical Applications in Medical Nutrition Therapy (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)"", ""-  – NUTR 851 - Nutritional Biochemistry of Micronutrients (https://catalog.unh.edu/graduate/course-descriptions/nutr/#:~:text=Grade%20Mode%3A%20Letter%20Grading)""]"
2025-09-29T03:29:48Z,What are the graduate grading policies?,Graduate Credit/Fail grading,"[""-  – LS 898 - Master's Project (https://catalog.unh.edu/graduate/course-descriptions/ls/#:~:text=Grade%20Mode%3A%20Graduate%20Credit/Fail%20grading)"", ""-  – KIN 993 - Teaching Practicum (https://catalog.unh.edu/graduate/course-descriptions/kin/#:~:text=Grade%20Mode%3A%20Graduate%20Credit/Fail%20grading)"", ""-  – OT 856 - Level II Fieldwork, II (https://catalog.unh.edu/graduate/course-descriptions/ot/#:~:text=Grade%20Mode%3A%20Graduate%20Credit/Fail%20grading)"", ""-  – BIOT 889 - Biotech Career Planning (https://catalog.unh.edu/graduate/course-descriptions/biot/#:~:text=Grade%20Mode%3A%20Graduate%20Credit/Fail%20grading)"", ""-  – MCBS 905 - Contemporary Topics in Molecular, Cellular and Biomedical Sciences (https://catalog.unh.edu/graduate/course-descriptions/mcbs/#:~:text=Grade%20Mode%3A%20Graduate%20Credit/Fail%20grading)""]"
2025-09-29T15:07:18Z,What are the graduate grading policies?,The graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate grading policies are the graduate grading policies and the graduate,[]
2025-09-29T16:20:13Z,What are the graduate grading policies?,"A (4.0), A-­ (3.67), B+ (3.33), B-­ (2.67), C+ (2.33), C-­ (1.67), D+ (1.33), D-­ (.67), F (0). Graduate credit is only granted for courses completed with a grade of B-­ or higher. Individual programs may have stricter requirements, and those are published with their degree program requirements. Each individual program may set and announce standards for coursework, examinations, and/or research achievement that are more rigorous than the Graduate School standard. Thus, students may be dismissed if","[""-  – Grades (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/grading/#:~:text=Letter%20grades%3A%20The%20following%20grades%20are%20used%20at%20the%20University%3A%20A%20%284.0%29%2C%20A-%C2%AD%20%283.67%29%2C%20B%2B%20%283.33%29%2C%20B%20%283.0%29%2C%20B%C2%AD-%20%282.67%29%2C%20C%2B%20%282.33%29%2C%20C%20%282.0%29%2C%20C-%C2%AD%20%281.67%29%2C%20D%2B%20%281.33%29%2C)"", ""-  – Academic Standards (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/academic-standards/#:~:text=Each%20individual%20program%20may%20set%20and%20announce%20standards%20for%20coursework%2C%20examinations%2C%20and/or%20research%20achievement%20that%20are%20more%20rigorous%20than%20the%20Graduate)"", ""-  – Policy and Procedure for Program Dismissals (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/academic-standards/#:~:text=Graduate%20students%20shall%20conduct%20themselves%20in%20a%20manner%20consistent%20with%20the%20norms%20and%20practices%20of%20their%20program%20and/or%20discipline.)"", ""-  – Dual Degrees (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=All%20standard%20policies%20relating%20to%20time%20to%20degree%2C%20residency%20requirements%2C%20academic%20standards%2C%20and%20minimum%20GPA%20required%20to%20graduate%20apply%20to%20any%20dual-%C2%ADdegree)"", ""-  – Academic Standards (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/academic-standards/#:~:text=Graduate%20students%20MUST%20have%20a%20cumulative%20GPA%20of%203.0%20or%20higher%20in%20order%20to%20be%20eligible%20for%20graduation.)""]"
2025-09-29T16:22:51Z,Show me graduate course descriptions for NUTR,NUTR 832 Courses: NUTR 832 Courses: NUTR 832 Courses: NUTR 832 Courses: NUTR 832 Courses: NUTR 832,"[""- NUTR 832 (https://catalog.unh.edu/search/?P=NUTR%20832)""]"
2025-09-29T16:24:16Z,"For MS IT, what happens if I get a C grade?","D+ (1.33), D+ (1.0), D-­ (.67), F (0). Graduate credit is only granted for courses completed with a grade of B-­ or higher. Individual programs may have stricter requirements, and those are published with their degree program requirements. Grading Policy: For the purposes of determining academic standing, grades below the “B­-” level in graded courses are considered failing grades. The MPH program director will recommend dismissal of a student to the Graduate School when a failing grade occurs in six or more credits, either in two courses or in one course taken","[""-  – Grades (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/grading/#:~:text=Graduate%20credit%20is%20only%20granted%20for%20courses%20completed%20with%20a%20grade%20of%20B-%C2%AD%20or%20higher.)"", ""-  – Certificate Requirements (https://catalog.unh.edu/graduate/programs-study/public-health/public-health-certificate/#:~:text=Grading%20Policy%3A%20For%20the%20purposes%20of%20determining%20academic%20standing%2C%20grades%20below%20the%20%E2%80%9CB%C2%AD-%E2%80%9D%20level%20in%20graded%20courses%20are%20considered%20failing%20grades.)""]"
2025-09-29T16:56:44Z,"For MS IT, what happens if I get a C grade?","Graduate credit is only granted for courses completed with a grade of B-­ or higher. Individual programs may have stricter requirements, and those are published with their degree program requirements. Students who are completing the undergraduate portion of the UNH occupational therapy program declare their intent to apply to our Advanced Standing MS program by the end of their sophomore year. They take professional courses as part of their baccalaureate degree requirements enabling them to enter the MS program with Advanced Standing, with many professional courses completed. Students officially apply to the Graduate School for the Advanced Standing MS Program in the spring semester of their senior year, using","[""-  – Grades (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/grading/#:~:text=Graduate%20credit%20is%20only%20granted%20for%20courses%20completed%20with%20a%20grade%20of%20B-%C2%AD%20or%20higher.)"", ""-  – Professional Licensure/Certification Disclosures (https://catalog.unh.edu/graduate/programs-study/occupational-therapy/occupational-therapy-advanced-standing-ms/#:~:text=An%20overall%20minimum%20grade%20point%20of%20B%20%283.0%29%20is%20required%20for%20admission.)"", ""-  – PPOL 998 - Policy Internship (https://catalog.unh.edu/graduate/course-descriptions/ppol/#:~:text=Grade%20Mode%3A%20Graduate%20Credit/Fail%20grading)""]"
2025-09-29T16:58:07Z,What are the graduate grading policies?,"A (4.0), A-­ (3.67), B+ (3.33), B-­ (2.67), C+ (2.33), C-­ (1.67), D+ (1.33), D-­ (.67), F (0). Graduate credit is only granted for courses completed with a grade of B-­ or higher. Individual programs may have stricter requirements, and those are published with their degree program requirements. Each individual program may set and announce standards for coursework, examinations, and/or research achievement that are more rigorous than the Graduate School standard. Thus, students may be dismissed if","[""-  – Grades (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/grading/#:~:text=Letter%20grades%3A%20The%20following%20grades%20are%20used%20at%20the%20University%3A%20A%20%284.0%29%2C%20A-%C2%AD%20%283.67%29%2C%20B%2B%20%283.33%29%2C%20B%20%283.0%29%2C%20B%C2%AD-%20%282.67%29%2C%20C%2B%20%282.33%29%2C%20C%20%282.0%29%2C%20C-%C2%AD%20%281.67%29%2C%20D%2B%20%281.33%29%2C)"", ""-  – Academic Standards (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/academic-standards/#:~:text=Each%20individual%20program%20may%20set%20and%20announce%20standards%20for%20coursework%2C%20examinations%2C%20and/or%20research%20achievement%20that%20are%20more%20rigorous%20than%20the%20Graduate)"", ""-  – Policy and Procedure for Program Dismissals (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/academic-standards/#:~:text=Graduate%20students%20shall%20conduct%20themselves%20in%20a%20manner%20consistent%20with%20the%20norms%20and%20practices%20of%20their%20program%20and/or%20discipline.)"", ""-  – Dual Degrees (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/degree-requirements/#:~:text=All%20standard%20policies%20relating%20to%20time%20to%20degree%2C%20residency%20requirements%2C%20academic%20standards%2C%20and%20minimum%20GPA%20required%20to%20graduate%20apply%20to%20any%20dual-%C2%ADdegree)"", ""-  – Academic Standards (https://catalog.unh.edu/graduate/academic-regulations-degree-requirements/academic-standards/#:~:text=Graduate%20students%20MUST%20have%20a%20cumulative%20GPA%20of%203.0%20or%20higher%20in%20order%20to%20be%20eligible%20for%20graduation.)""]"
2025-09-29T16:58:41Z,Show me graduate course descriptions for NUTR,NUTR 832 Courses: NUTR 832 Courses: NUTR 832 Courses: NUTR 832 Courses: NUTR 832 Courses: NUTR 832,"[""- NUTR 832 (https://catalog.unh.edu/search/?P=NUTR%20832)""]"
